trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,0,40,0,77.47597189999942,,77.42349259999173,10,77.47597189999942,77.47597189999942,0.03611509999609552,78.48528280000028,80.16496949999419,[-0.23416666666666666],[0.39666666666666667],[1],[0],[0],[2.70573929999955],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
41,0,41,0,80.19689029999427,,80.16835559999163,5,80.19689029999427,80.19689029999427,0.01921139999467414,81.20192339998903,82.27018969999335,[0.36666666666666664],[0.26416666666666666],[1],[0],[0],[2.082773600006476],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
42,0,42,0,82.33195159999013,,82.27464459999464,10,82.33195159999013,82.33195159999013,0.041664899996249005,83.35509159999492,83.9129954999953,[-0.49],[0.2775],[1],[0],[0],[1.5970645000052173],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
43,0,43,0,83.97365759999957,,83.91827339999145,10,83.97365759999957,83.97365759999957,0.03289550000044983,85.0172492999991,85.88042879999557,[0.05333333333333334],[0.35],[1],[0],[0],[1.9295418999972753],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
44,0,44,0,85.94545549999748,,85.88560769999458,10,85.94545549999748,85.94545549999748,0.03253019999829121,86.99253279999539,87.26289629998791,[0.2625],[0.38083333333333336],[1],[0],[0],[1.3448967000003904],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
45,0,45,0,87.29477299998689,,87.26861959999951,5,87.29477299998689,87.29477299998689,0.0174338000069838,88.30224489999819,89.43752649999806,[0.11333333333333333],[-0.30083333333333334],[1],[0],[0],[2.151728600001661],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
46,0,46,0,89.47131909999007,,89.44117759999062,5,89.47131909999007,89.47131909999007,0.020465499997953884,90.48570359998848,90.97104319999926,[-0.43333333333333335],[-0.20583333333333334],[1],[0],[0],[1.5096462999936193],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
47,0,47,0,91.02643879999232,,90.97466359999089,10,91.02643879999232,91.02643879999232,0.035166799993021414,92.04911429999629,92.4038392999937,[-0.2425],[-0.07666666666666666],[1],[0],[0],[1.3940270000020973],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
48,0,48,0,92.4371805999981,,92.40677139999752,5,92.4371805999981,92.4371805999981,0.018529199995100498,93.43654189999506,94.05348809999123,[0.30416666666666664],[0.2],[1],[0],[0],[1.6282693999964977],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
49,0,49,0,94.11032949999208,,94.058280799989,10,94.11032949999208,94.11032949999208,0.03556209999078419,95.12096299999394,95.85870469998918,[-0.2075],[-0.2025],[1],[0],[0],[1.765416499998537],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
50,0,50,0,95.92429640000046,,95.86418859999685,10,95.92429640000046,95.92429640000046,0.03635369999392424,96.99399429999175,97.30832479998935,[0.34833333333333333],[0.23],[1],[0],[0],[1.408403499997803],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
